Tree;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;
1;4;4;4;3;3;3;1;1;5;2;4;7;6;8;2;3;4;5;1;3;1;1;2;3;
2;9;6;4;7;2;11;6;5;4;4;4;3;5;4;9;10;12;6;9;8;7;5;7;3;
3;0;1;3;0;1;0;1;1;4;2;1;1;1;3;1;1;1;1;3;1;1;1;2;1;
4;0;1;1;2;0;2;0;4;2;0;2;3;2;3;1;0;3;1;2;1;1;3;1;2;
5;1;0;1;2;2;0;1;1;1;4;3;2;2;1;3;1;2;0;0;2;0;2;1;0;
6;2;3;2;1;1;3;2;2;2;3;3;1;0;0;4;1;1;1;1;0;1;1;2;4;
7;0;1;0;2;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;
8;0;0;1;2;3;1;2;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;
9;2;3;3;5;7;6;12;7;4;2;4;3;8;2;3;5;3;3;9;3;4;8;7;5;
10;5;7;11;6;15;6;10;9;7;8;5;8;10;7;3;11;5;11;8;6;9;10;5;11;
11;3;4;5;6;2;0;0;1;3;2;2;4;2;2;3;1;0;1;0;5;5;0;4;2;
12;6;4;2;3;1;1;1;1;3;4;3;4;0;3;3;2;2;5;1;4;5;3;4;7;
13;2;1;1;1;0;2;1;2;1;3;2;2;1;4;2;1;0;1;1;3;2;0;3;1;
14;5;6;2;2;3;2;1;4;5;4;5;2;4;4;6;4;6;4;2;2;2;3;3;1;
15;2;0;0;0;1;1;1;1;1;3;0;0;0;0;0;0;2;1;1;1;1;2;0;0;
16;1;1;2;0;1;4;2;2;0;0;3;2;0;1;1;1;1;1;2;1;2;2;1;1;
