Tree;scenario;a;b;c;d;e;f;g;h;
1;2;1321041406;109762674;1479836362;1555521194;1343595312;843458935;993175557;2353608560;
2;14;1469782406;596051275;1470662791;1777822096;1722740287;1155097251;772845577;1034998317;
3;10;1221590621;1325754435;1308160177;1300021264;1828542562;1088557599;1601226407;326146935;
4;14;692013283;1824084740;853665253;622615002;776285404;2088865109;1297628572;1844842637;
5;14;1308200486;1186840001;1314409108;1331040795;1378755951;1183058008;1207751461;1089944190;
6;12;1187590489;1722701241;1282910445;320297257;1451057797;2002825048;1557052754;475564969;
7;4;862716272;1354828881;1468536647;601393019;2300602957;2145269056;1071659829;194993339;
8;6;1148841794;56851822;2566665861;1070386635;2382911256;189253089;1167376692;1417712851;
9;8;1564364668;1183806480;2179545722;1130007908;1573098732;853827968;646696863;868651659;
10;13;1121916706;1119787107;1951336230;1783582186;838871954;1008093231;969511391;1206901195;
11;6;535705774;2312236619;1271523679;646010456;1449309420;1253449177;1999126930;532637945;
12;2;1617605980;28092130;1675549119;499607795;1621360973;1685096870;1113637852;1759049281;
13;10;1108640224;844667099;1348208962;1806036295;2343945982;1041168459;1176334391;330998588;
14;4;2597888330;2046286419;1184355955;1508091955;761433270;1320864889;315426481;265652701;
15;10;1520070568;1748892116;1594775054;1822371651;1027028053;45087692;990061465;1251713401;
16;9;1408890935;179075251;1212602190;2100411925;38793412;1222668482;1861704457;1975853348;
17;4;1574400401;1312026304;1124908333;924536462;932106758;1090358311;1597702856;1443960575;
18;14;1978631681;227438237;804973520;2061295025;843946039;1021290636;1195974289;1866450573;
19;9;1570191453;1650104491;2212168991;1148900860;1377690278;453796385;1308307787;278839755;
20;13;1190166860;1018785885;1506331609;1510010771;1272307198;1283358792;1034869905;1184168980;
21;2;2116945106;1628975052;290404272;874782323;253449479;2119819961;1454583093;1261040714;
22;1;54996474;951266220;2908535451;1664524935;255898097;2396042890;674206556;1094529377;
23;9;585019480;232214779;1241306557;1936666217;1923844349;2158866428;1020352897;901729293;
24;2;2435195394;771573196;1173552377;2246524956;1257652433;877735922;777773253;459992469;
25;10;1901899384;1661856361;1428190167;151888463;1169488739;1328197839;1881334974;477144073;
26;5;172088732;870029931;1418137802;1030192223;845008258;3110705009;407914007;2145924038;
27;10;2700513640;1630782886;1590889065;671274653;295110842;47197088;545050725;2519181101;
28;3;1219573510;263090773;1218690481;1207690170;828155750;740832172;2374917849;2147049295;
29;10;802151366;2328003985;1619795130;570420129;1345005914;1546706971;1102792702;685123803;
30;15;337243613;387069185;2113082857;1783092121;2522109977;1849854688;204112330;803435229;
31;9;1096850662;1534975578;752950986;1431911480;1302861346;881437313;1467711579;1531301056;
32;16;189259625;189259625;189259625;2310740375;2310740375;2310740375;2310740375;189259625;
33;10;1460433853;776932178;1584298156;1000409872;1416086596;1697861119;597361321;1466616905;
34;16;567588978;567588978;567588978;1932411022;1932411022;1932411022;1932411022;567588978;
35;9;1020962197;642027134;308975800;1511861157;1678238971;1761231114;561117488;2515586139;
36;2;1798449295;1911100670;1961531196;1798965008;1390649877;613074935;373039767;153189252;
37;10;491926480;849104319;1369288869;999073660;2200179728;2626618269;331393948;1132414727;
38;4;1140137830;510002601;2326629154;1637443666;2247060944;519732829;522019900;1096973076;
39;10;2265275937;598633714;2363592984;562631322;1485505655;1322776813;460994971;940588604;
40;9;699631810;1671991647;1337638461;1630980622;1408953786;979993429;1871745455;399064790;
41;9;1668701572;1421538569;1920713574;333315713;670765559;1620957785;1899055485;464951743;
42;11;1687917611;1403833302;175839305;1909899039;1457632388;75017618;1508842408;1781018329;
