Trait;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Iteration 17;Iteration 18;Iteration 19;Iteration 20;Iteration 21;Iteration 22;Iteration 23;Iteration 24;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;
15;0;0;0;0;0;0;0;0;0;0;9;0;0;0;295;0;0;0;0;0;0;0;0;0;
16;0;0;0;1;0;0;0;0;0;0;54;0;0;0;715;0;0;0;0;0;0;0;0;0;
17;0;0;0;28;0;0;0;0;0;0;1086;0;0;0;1816;0;0;0;0;0;0;0;0;0;
18;0;3;0;166;0;0;1238;0;0;2;2986;0;0;0;5590;0;4;0;0;0;1377;0;0;0;
19;9;19;1;862;3;0;3754;0;0;13;7027;0;0;0;15391;0;40;17;0;0;4068;25;0;0;
20;105;171;29;3726;25;0;10873;1;0;612;17339;0;0;12;43929;0;340;219;0;0;13382;283;0;15;
21;946;1995;455;14591;531;1;31652;141;311;4091;43254;57;217;246;112208;26;2381;1694;27;0;41795;4975;0;227;
22;6207;10225;3003;53501;3686;65;84723;1698;2548;20574;111535;880;2552;2067;253000;469;14421;10415;335;0;114246;24648;150;3387;
23;34948;51491;17472;176482;20669;1271;221439;39819;16071;79297;291088;9408;16367;14265;516427;4724;72135;48708;3637;78;256842;106155;2893;24560;
24;165787;239422;94752;538875;118189;16920;568314;196052;86325;292940;742382;241505;108806;90895;1066040;438346;274764;294336;36458;4618;484976;399453;28360;152333;
25;691010;808672;399040;1533495;570063;114689;1400602;728900;394823;925480;1822578;857380;574095;400762;2324209;895121;906190;954337;197679;52620;953643;1248069;174601;585319;
26;2341403;2827795;1518885;4138076;2114566;668851;3394521;2406877;1657815;2790184;4417719;2963493;2529069;1890161;5313873;2551571;2885630;2914477;937341;538828;2068813;3551427;847527;2321117;
27;7903641;8240085;5209970;10967347;7211186;5498569;9551730;7395549;6869491;8194893;10493734;9388891;8915660;7145757;12233015;8247265;8781964;9401483;4108598;4448459;5485608;9730275;4992217;7356284;
28;24278676;22697069;16539507;26271026;21699644;17105609;22858792;21141292;20738631;22051166;24038673;26106403;26206078;21256455;26593749;20674743;24110126;25544290;17285524;16377374;15184282;24298170;16761726;22034135;
29;63363784;59499661;49136990;61107237;60154938;50463818;54418342;56206714;58054573;56900650;53841345;67093800;69738682;57765269;51265502;52678262;63076539;65600636;53954549;54266348;49455631;59262402;51885615;59862978;
30;155371131;147573636;141699027;137490336;153719036;141971646;124891218;141353315;148451008;141390278;119291454;158879060;160271778;146312587;91403178;128940666;146756649;154427093;152703220;150589241;128058886;141176918;147180223;141564251;
31;344784430;340727604;351322002;290143398;359503276;346076676;271640830;332320501;330348450;327100439;254282156;343379714;334490138;341157377;157133559;288132990;322499846;331052000;377416019;358323093;289019104;314716524;352285303;317595907;
32;702565491;719639543;792526088;574026058;746806066;768572553;536651849;722031286;682225823;696239007;519355174;677594030;642724397;733454991;277733124;596688566;645266931;601572814;826636341;772011682;606748735;651774415;762891069;664803726;
33;1312398939;1365590874;1522548176;1043217330;1350913832;1326905869;1008932152;1410451591;1201097852;1351558462;990397551;1094316975;1142694993;1411724450;520198827;1067884112;1112315398;1060280430;1430435887;1475129447;1090427378;1173093997;1369348209;1180739891;
34;2226525151;2351028780;2683290879;1798746719;2303875981;2299968759;1772529519;2498963635;2116405425;2350012529;1738602092;1820787565;1880629730;2467500665;998670697;1855633904;1875376792;1788604323;2457012358;2442953256;1877701062;2050318222;2428970334;2060011475;
35;3455900891;3608691717;4197722163;2837142364;3569419576;3611557737;2872636052;3897338655;3085734352;3720961848;2833792404;2821855813;2848784710;3885875612;1857950456;2828587058;2812274868;2798177416;3824794713;3738298614;3002795166;3215608708;3860096779;3049700437;
36;4820849678;5088476958;5672992454;4109833739;5031809009;5130188096;3786740165;5143007165;4455861924;5183156717;4089521820;3728889194;4047153039;5364179452;3123965499;4086620651;4040152828;3788846487;4970813972;4669011929;4375778078;4511325588;5218836378;4328577950;
37;6270586758;6553449036;7082585618;5558795217;6360259847;6632504543;4908063818;6536302978;5995256355;6654743101;5539699798;5036683763;5380887209;6892750037;4744587804;5408190650;5457137924;5102814190;6423297524;6055805395;5851070719;5922879584;6739144912;5740910799;
38;7545860702;7783778543;8051605629;6938125796;7535447797;7871867727;6128603360;7791830919;7361616632;7383432998;6842117360;6327598317;6572216800;8110873592;6315807836;6758737793;6780750798;6378409042;7491012379;7309858863;7198894884;7216186372;7979238426;7068002469;
39;7882862308;8680999935;8870747629;7508409568;8503949310;8659145764;7014964866;8633851602;8363093559;8010716141;7783301107;7499139128;7327772084;8935343449;7697081776;7677676772;7823842057;7524213697;8293829832;8207611111;8054945274;8220055740;8752743919;8067271495;
40;8736279431;9246833980;9388202271;8467393727;9143204881;9235669839;8088228531;9216058421;9009085508;8818865082;8609954099;8444539956;8196268562;9430288194;8657795393;8582965571;8693253931;8442290068;9012424375;8768546213;8870047980;8862020107;9319592440;8871805201;
